day,regime
0.00,0
1.00,0
2.00,0
3.00,0
4.00,0
5.00,0
6.00,0
7.00,0
8.00,0
9.00,0
10.00,0
11.00,0
12.00,0
13.00,0
14.00,0
15.00,0
16.00,0
17.00,0
18.00,0
19.00,0
20.00,0
21.00,0
22.00,0
23.00,0
24.00,0
25.00,0
26.00,0
27.00,0
28.00,0
29.00,0
30.00,0
31.00,0
32.00,0
33.00,0
34.00,0
35.00,0
36.00,0
37.00,0
38.00,0
39.00,0
40.00,0
41.00,0
42.00,0
43.00,0
44.00,0
45.00,0
46.00,0
47.00,0
48.00,0
49.00,0
50.00,0
51.00,0
52.00,0
53.00,0
54.00,0
55.00,0
56.00,0
57.00,0
58.00,0
59.00,0
60.00,0
61.00,0
62.00,0
63.00,0
64.00,2
65.00,2
66.00,2
67.00,0
68.00,0
69.00,0
70.00,0
71.00,0
72.00,0
73.00,0
74.00,0
75.00,0
76.00,0
77.00,0
78.00,0
79.00,0
80.00,2
81.00,0
82.00,0
83.00,0
84.00,2
85.00,2
86.00,2
87.00,0
88.00,0
89.00,0
90.00,0
91.00,0
92.00,0
93.00,0
94.00,0
95.00,0
96.00,0
97.00,0
98.00,0
99.00,2
100.00,0
101.00,0
102.00,0
103.00,0
104.00,0
105.00,0
106.00,0
107.00,2
108.00,0
109.00,0
110.00,0
111.00,0
112.00,0
113.00,0
114.00,2
115.00,0
116.00,0
117.00,0
118.00,0
119.00,0
120.00,0
121.00,0
122.00,0
123.00,0
124.00,0
125.00,0
126.00,0
127.00,0
128.00,0
129.00,0
130.00,0
131.00,0
132.00,0
133.00,0
134.00,0
135.00,0
136.00,0
137.00,0
138.00,0
139.00,0
140.00,2
141.00,2
142.00,2
143.00,2
144.00,2
145.00,2
146.00,2
147.00,0
148.00,0
149.00,0
150.00,0
151.00,0
152.00,0
153.00,2
154.00,2
155.00,2
156.00,2
157.00,0
158.00,0
159.00,0
160.00,0
161.00,0
162.00,0
163.00,0
164.00,0
165.00,0
166.00,0
167.00,0
168.00,0
169.00,0
170.00,0
171.00,0
172.00,0
173.00,0
174.00,0
175.00,0
176.00,0
177.00,0
178.00,0
179.00,0
180.00,0
181.00,0
