round,drift,n_active,n_banned_byz,n_banned_honest,battery_j,brownout,collusion_active
0,0.26847455380843716,25,0,0,23760.0,False,False
1,0.24067503763276907,25,0,0,23760.0,False,False
2,0.20745333763304624,25,0,0,23760.0,False,False
3,0.16289749107204196,25,5,0,23760.0,False,False
4,0.05086087065769227,20,5,0,23760.0,False,False
5,0.03399195328804336,20,5,0,23760.0,False,False
6,0.051703005516639006,20,5,0,23760.0,False,False
7,0.03578867779871981,20,5,0,23760.0,False,False
8,0.03320099464786681,20,5,0,23760.0,False,False
9,0.03315175534355673,20,5,0,23760.0,False,False
10,0.04456682302966118,20,5,0,23760.0,False,False
11,0.040489524429269126,20,5,0,23760.0,False,False
12,0.059947066226200794,20,5,0,23760.0,False,False
13,0.03403901278930595,20,5,0,23760.0,False,False
14,0.03727010261732783,20,5,0,23760.0,False,False
15,0.0509553736596365,20,5,0,23760.0,False,False
16,0.06133080339441065,20,5,0,23760.0,False,False
17,0.05725817059345422,20,5,0,23760.0,False,False
18,0.023658514570765288,20,5,0,23760.0,False,False
19,0.0515750382110623,20,5,0,23760.0,False,False
20,0.04687318540261355,20,5,0,23760.0,False,False
21,0.04492939671692773,20,5,0,23760.0,False,False
22,0.035830147090463796,20,5,0,23760.0,False,False
23,0.05385768119344328,20,5,0,23760.0,False,False
24,0.03943946894606363,20,5,0,23760.0,False,False
25,0.06753331003184646,20,5,0,23760.0,False,False
26,0.030266651100284533,20,5,0,23760.0,False,False
27,0.04327613409670976,20,5,0,23760.0,False,False
28,0.04581518362968818,20,5,0,23760.0,False,False
29,0.05371789967916877,20,5,0,23760.0,False,False
30,0.4487485874098019,20,5,0,23760.0,False,True
31,0.43037833272962533,20,5,0,23760.0,False,True
32,0.4036808197578274,20,5,0,23760.0,False,True
33,0.3776462186143132,20,5,0,23760.0,False,True
34,0.32893809477912517,20,5,0,23760.0,False,True
35,0.2984526065183111,20,5,0,23760.0,False,True
36,0.28375877228318414,20,5,0,23760.0,False,True
37,0.25488283381253285,20,5,0,23760.0,False,True
38,0.2011089475941535,20,5,0,23760.0,False,True
39,0.19276044544105017,20,5,0,23760.0,False,True
40,0.14993253951765792,20,8,0,23760.0,False,True
41,0.0426168957677751,17,8,0,23760.0,False,True
42,0.048617806734544994,17,8,0,23760.0,False,True
43,0.06299248254441327,17,8,0,23760.0,False,True
44,0.05058379274782974,17,8,0,23760.0,False,True
45,0.05922057094920127,17,8,0,23760.0,False,True
46,0.06200022349709139,17,8,0,23760.0,False,True
47,0.06422382054846784,17,8,0,23760.0,False,True
48,0.0695272700565373,17,8,0,23760.0,False,True
49,0.024309144711808714,17,8,0,23760.0,False,True
50,0.024703725298551273,17,8,0,23760.0,False,True
51,0.053317243059093286,17,8,0,23760.0,False,True
52,0.05043218968159462,17,8,0,23760.0,False,True
53,0.054181941190886096,17,8,0,23760.0,False,True
54,0.04260576438130881,17,8,0,23760.0,False,True
55,0.05523749217173282,17,8,0,23760.0,False,True
56,0.040089639269226554,17,8,0,23760.0,False,True
57,0.05562985403585019,17,8,0,23760.0,False,True
58,0.04822358484451567,17,8,0,23760.0,False,True
59,0.059793588896326896,17,8,0,23760.0,False,True
60,0.05558837674005299,17,8,0,23760.0,False,True
61,0.0464045306531145,17,8,0,23760.0,False,True
62,0.0444322615577251,17,8,0,23760.0,False,True
63,0.05113991035033803,17,8,0,23760.0,False,True
64,0.04531425368892076,17,8,0,23760.0,False,True
65,0.04925956149740873,17,8,0,23760.0,False,True
66,0.05640702859279749,17,8,0,23760.0,False,True
67,0.02916210066420709,17,8,0,23760.0,False,True
68,0.061853118985395396,17,8,0,23760.0,False,True
69,0.048624023987526174,17,8,0,23760.0,False,True
70,0.055695201868717466,17,8,0,23760.0,False,True
71,0.047261023430909946,17,8,0,23760.0,False,True
72,0.06480859757412177,17,8,0,23760.0,False,True
73,0.05348578426376701,17,8,0,23760.0,False,True
74,0.0441438823535497,17,8,0,23760.0,False,True
75,0.03610160435589687,17,8,0,23760.0,False,True
76,0.05383221162656346,17,8,0,23760.0,False,True
77,0.051095753186857815,17,8,0,23760.0,False,True
78,0.027917180969534106,17,8,0,23760.0,False,True
79,0.05093633915429409,17,8,0,23760.0,False,True
80,0.05091639056126785,17,8,0,23760.0,False,True
81,0.05883271861770613,17,8,0,23760.0,False,True
82,0.06547906144256789,17,8,0,23760.0,False,True
83,0.040079932414164667,17,8,0,23760.0,False,True
84,0.035635456122126964,17,8,0,23760.0,False,True
85,0.048119524281643455,17,8,0,23760.0,False,True
86,0.037092957759330435,17,8,0,23760.0,False,True
87,0.041491145569109884,17,8,0,23760.0,False,True
88,0.05623701954684343,17,8,0,23760.0,False,True
89,0.03225388941405947,17,8,0,23760.0,False,True
90,0.02910116564909886,17,8,0,23760.0,False,True
91,0.055064302233561915,17,8,0,23760.0,False,True
92,0.037016098631198625,17,8,0,23760.0,False,True
93,0.057028380497874426,17,8,0,23760.0,False,True
94,0.058071684401596615,17,8,0,23760.0,False,True
95,0.049063038229535234,17,8,0,23760.0,False,True
96,0.050288121443160395,17,8,0,23760.0,False,True
97,0.07111001286956695,17,8,0,23760.0,False,True
98,0.048534906319932805,17,8,0,23760.0,False,True
99,0.061386233013747016,17,8,0,23760.0,False,True
