Date Time,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg)
2016-01-01 00:00:00,999.08,-0.01,273.22,-0.44,96.9,6.1,5.91,0.19,3.69,5.92,1271.32,1.16,2.04,192.4
2016-01-01 00:10:00,999.03,0.01,273.25,-0.41,97.0,6.11,5.93,0.18,3.7,5.94,1271.16,1.01,2.12,211.6
2016-01-01 00:20:00,999.07,0.06,273.29,-0.36,97.0,6.13,5.95,0.18,3.71,5.96,1270.97,0.8,1.52,203.8
2016-01-01 00:30:00,999.09,0.07,273.3,-0.36,96.9,6.14,5.95,0.19,3.71,5.96,1270.93,0.77,1.64,184.2
2016-01-01 00:40:00,999.09,-0.05,273.18,-0.5,96.8,6.09,5.89,0.19,3.68,5.9,1271.54,0.84,1.92,200.1
2016-01-01 00:50:00,999.08,0.07,273.3,-0.33,97.1,6.14,5.96,0.18,3.72,5.97,1270.93,0.33,0.84,159.8
2016-01-01 01:00:00,999.06,-0.05,273.18,-0.52,96.6,6.09,5.88,0.21,3.67,5.88,1271.5,0.36,0.76,163.5
2016-01-01 01:10:00,999.02,-0.09,273.15,-0.55,96.7,6.07,5.87,0.2,3.66,5.87,1271.62,0.29,0.84,39.75
2016-01-01 01:20:00,998.95,-0.41,272.83,-0.92,96.3,5.93,5.71,0.22,3.56,5.71,1273.12,0.18,0.4,240.5
2016-01-01 01:30:00,999.02,-0.69,272.55,-1.19,96.4,5.81,5.6,0.21,3.49,5.6,1274.56,0.29,0.88,170.0
2016-01-01 01:40:00,998.99,-0.95,272.29,-1.42,96.6,5.7,5.5,0.19,3.43,5.51,1275.8,0.55,0.8,166.9
2016-01-01 01:50:00,999.07,-0.79,272.44,-1.16,97.3,5.77,5.61,0.16,3.5,5.62,1275.09,0.2,0.4,2.89
2016-01-01 02:00:00,999.0,-0.59,272.65,-0.99,97.1,5.85,5.68,0.17,3.54,5.69,1274.03,0.35,0.6,152.2
2016-01-01 02:10:00,999.07,-0.72,272.52,-1.14,96.9,5.8,5.62,0.18,3.5,5.62,1274.74,0.19,0.56,271.0
2016-01-01 02:20:00,999.14,-0.74,272.49,-1.18,96.8,5.79,5.6,0.19,3.49,5.61,1274.95,0.86,1.2,212.6
2016-01-01 02:30:00,999.24,-1.17,272.05,-1.68,96.3,5.61,5.4,0.21,3.37,5.4,1277.2,0.71,1.0,195.2
2016-01-01 02:40:00,999.32,-1.57,271.64,-2.07,96.4,5.44,5.25,0.2,3.27,5.25,1279.28,0.62,0.92,178.5
2016-01-01 02:50:00,999.44,-1.72,271.48,-2.15,96.9,5.38,5.21,0.17,3.25,5.22,1280.15,0.3,0.64,174.9
2016-01-01 03:00:00,999.48,-1.83,271.37,-2.24,97.0,5.34,5.18,0.16,3.23,5.18,1280.73,0.38,0.64,190.3
2016-01-01 03:10:00,999.44,-1.97,271.24,-2.36,97.1,5.29,5.13,0.15,3.2,5.13,1281.34,0.52,0.92,180.2
2016-01-01 03:20:00,999.46,-1.82,271.38,-2.16,97.5,5.34,5.21,0.13,3.25,5.21,1280.64,0.27,0.68,224.6
2016-01-01 03:30:00,999.56,-1.73,271.46,-2.07,97.5,5.38,5.24,0.13,3.27,5.25,1280.33,0.31,0.64,193.6
2016-01-01 03:40:00,999.58,-1.74,271.45,-2.08,97.5,5.38,5.24,0.13,3.27,5.24,1280.39,0.34,0.68,231.7
2016-01-01 03:50:00,999.57,-1.69,271.51,-2.0,97.7,5.4,5.27,0.12,3.29,5.27,1280.1,0.23,0.48,233.5
2016-01-01 04:00:00,999.65,-1.63,271.56,-1.96,97.6,5.42,5.29,0.13,3.3,5.29,1279.94,0.26,0.56,172.5
2016-01-01 04:10:00,999.63,-1.66,271.53,-1.99,97.6,5.41,5.28,0.13,3.29,5.28,1280.07,0.34,0.72,220.3
2016-01-01 04:20:00,999.62,-2.0,271.19,-2.37,97.3,5.27,5.13,0.14,3.2,5.13,1281.71,0.63,1.36,198.5
2016-01-01 04:30:00,999.69,-2.24,270.94,-2.58,97.5,5.18,5.05,0.13,3.15,5.05,1282.99,1.2,1.48,213.8
2016-01-01 04:40:00,999.66,-2.14,271.04,-2.43,97.9,5.22,5.11,0.11,3.18,5.11,1282.47,1.02,1.44,195.5
2016-01-01 04:50:00,999.61,-1.99,271.2,-2.26,98.0,5.28,5.17,0.11,3.22,5.17,1281.64,0.99,1.44,195.0
2016-01-01 05:00:00,999.68,-1.84,271.35,-2.11,98.0,5.34,5.23,0.11,3.26,5.23,1280.97,0.89,1.38,185.8
2016-01-01 05:10:00,999.58,-1.74,271.45,-2.03,97.9,5.37,5.26,0.11,3.28,5.26,1280.38,1.2,1.72,175.1
2016-01-01 05:20:00,999.5,-1.72,271.48,-2.01,97.9,5.38,5.27,0.11,3.29,5.27,1280.19,0.93,1.4,186.1
2016-01-01 05:30:00,999.57,-1.69,271.5,-1.98,97.9,5.39,5.28,0.11,3.29,5.28,1280.12,0.81,1.36,210.9
2016-01-01 05:40:00,999.53,-1.72,271.48,-2.02,97.8,5.38,5.26,0.12,3.28,5.27,1280.22,1.09,1.92,192.9
2016-01-01 05:50:00,999.37,-1.84,271.37,-2.14,97.8,5.34,5.22,0.12,3.25,5.22,1280.6,1.25,2.0,202.3
2016-01-01 06:00:00,999.37,-1.82,271.39,-2.09,98.0,5.34,5.24,0.11,3.27,5.24,1280.5,0.71,1.36,175.7
2016-01-01 06:10:00,999.41,-1.67,271.54,-1.93,98.1,5.4,5.3,0.1,3.31,5.3,1279.8,0.66,1.32,192.3
2016-01-01 06:20:00,999.51,-1.67,271.52,-1.95,98.0,5.4,5.29,0.11,3.3,5.3,1279.96,0.74,1.58,158.5
2016-01-01 06:30:00,999.67,-1.71,271.48,-1.98,98.0,5.39,5.28,0.11,3.29,5.28,1280.35,1.24,2.08,166.5
2016-01-01 06:40:00,999.65,-1.55,271.64,-1.8,98.2,5.45,5.35,0.1,3.34,5.35,1279.55,0.67,1.44,147.8
2016-01-01 06:50:00,999.64,-1.6,271.59,-1.87,98.0,5.43,5.32,0.11,3.32,5.32,1279.77,0.85,1.52,220.2
2016-01-01 07:00:00,999.65,-1.42,271.76,-1.65,98.3,5.5,5.41,0.09,3.37,5.41,1278.91,1.33,2.08,227.1
2016-01-01 07:10:00,999.65,-1.18,272.01,-1.41,98.3,5.6,5.51,0.1,3.43,5.51,1277.69,0.95,1.88,182.2
2016-01-01 07:20:00,999.6,-1.17,272.02,-1.42,98.2,5.6,5.5,0.1,3.43,5.51,1277.63,1.14,1.84,201.1
2016-01-01 07:30:00,999.64,-0.94,272.25,-1.16,98.4,5.7,5.61,0.09,3.5,5.61,1276.53,1.41,2.24,200.3
2016-01-01 07:40:00,999.67,-0.84,272.34,-1.07,98.3,5.74,5.65,0.1,3.52,5.65,1276.09,1.31,1.72,205.9
2016-01-01 07:50:00,999.74,-0.89,272.29,-1.15,98.1,5.72,5.61,0.11,3.5,5.62,1276.41,0.95,1.6,197.0
2016-01-01 08:00:00,999.69,-0.97,272.21,-1.23,98.1,5.69,5.58,0.11,3.48,5.58,1276.77,0.98,1.6,197.2
2016-01-01 08:10:00,999.84,-1.04,272.13,-1.3,98.1,5.66,5.55,0.11,3.46,5.55,1277.27,1.08,1.76,137.9
2016-01-01 08:20:00,999.94,-1.26,271.9,-1.53,98.0,5.57,5.46,0.11,3.4,5.46,1278.5,1.01,1.52,155.9
2016-01-01 08:30:00,999.96,-1.35,271.81,-1.61,98.1,5.53,5.43,0.11,3.38,5.43,1278.96,0.99,2.16,182.7
2016-01-01 08:40:00,1000.04,-1.35,271.81,-1.59,98.2,5.53,5.43,0.1,3.39,5.43,1279.04,1.09,1.88,162.6
2016-01-01 08:50:00,1000.07,-1.41,271.74,-1.66,98.2,5.51,5.41,0.1,3.37,5.41,1279.4,1.86,2.6,172.2
2016-01-01 09:00:00,1000.06,-1.44,271.72,-1.68,98.2,5.5,5.4,0.1,3.36,5.4,1279.5,1.9,2.84,179.8
2016-01-01 09:10:00,1000.01,-1.27,271.89,-1.48,98.5,5.56,5.48,0.08,3.42,5.48,1278.62,0.58,1.2,113.8
2016-01-01 09:20:00,1000.02,-0.95,272.21,-1.14,98.6,5.7,5.62,0.08,3.5,5.62,1277.03,0.49,1.12,197.8
2016-01-01 09:30:00,1000.07,-0.51,272.65,-0.69,98.7,5.88,5.81,0.08,3.62,5.81,1274.96,1.18,2.26,198.8
2016-01-01 09:40:00,1000.13,-0.55,272.6,-0.8,98.2,5.87,5.76,0.11,3.59,5.76,1275.28,1.19,2.08,215.0
2016-01-01 09:50:00,1000.24,-0.72,272.42,-1.0,98.0,5.79,5.68,0.12,3.54,5.68,1276.25,1.4,2.16,202.0
2016-01-01 10:00:00,1000.24,-0.55,272.59,-0.79,98.3,5.87,5.77,0.1,3.59,5.77,1275.41,1.11,1.92,201.4
2016-01-01 10:10:00,1000.33,-0.43,272.7,-0.66,98.3,5.92,5.82,0.1,3.63,5.82,1274.92,1.0,1.68,158.9
2016-01-01 10:20:00,1000.43,-0.45,272.68,-0.71,98.1,5.91,5.8,0.11,3.61,5.8,1275.16,1.61,2.48,155.0
2016-01-01 10:30:00,1000.49,-0.67,272.45,-0.97,97.8,5.82,5.69,0.13,3.54,5.69,1276.3,2.01,3.43,155.5
2016-01-01 10:40:00,1000.6,-0.78,272.33,-1.06,98.0,5.77,5.65,0.12,3.52,5.65,1277.0,2.53,3.73,157.4
2016-01-01 10:50:00,1000.52,-0.62,272.5,-0.85,98.3,5.84,5.74,0.1,3.58,5.74,1276.07,2.13,3.2,168.3
2016-01-01 11:00:00,1000.45,-0.8,272.33,-1.09,97.9,5.76,5.64,0.12,3.51,5.64,1276.88,2.2,3.73,157.2
2016-01-01 11:10:00,1000.3,-0.77,272.37,-1.03,98.1,5.77,5.66,0.11,3.53,5.66,1276.54,1.73,2.88,152.6
2016-01-01 11:20:00,1000.16,-0.54,272.61,-0.79,98.2,5.87,5.77,0.11,3.59,5.76,1275.24,0.52,0.96,145.8
2016-01-01 11:30:00,1000.04,-0.42,272.74,-0.68,98.1,5.92,5.81,0.11,3.62,5.81,1274.49,0.59,1.16,173.2
2016-01-01 11:40:00,999.94,-0.54,272.63,-0.85,97.7,5.87,5.74,0.14,3.58,5.74,1274.95,0.75,1.28,213.0
2016-01-01 11:50:00,999.93,-0.32,272.84,-0.58,98.1,5.97,5.85,0.11,3.65,5.85,1273.88,0.81,1.54,188.6
2016-01-01 12:00:00,999.89,-0.03,273.13,-0.32,97.9,6.09,5.96,0.13,3.72,5.97,1272.45,0.96,1.92,164.0
2016-01-01 12:10:00,999.86,0.18,273.35,-0.14,97.7,6.19,6.05,0.14,3.77,6.05,1271.38,0.78,1.48,180.4
2016-01-01 12:20:00,999.77,0.37,273.55,0.07,97.8,6.28,6.14,0.14,3.83,6.14,1270.32,0.72,1.38,160.1
2016-01-01 12:30:00,999.7,0.8,273.98,0.41,97.2,6.47,6.29,0.18,3.92,6.29,1268.18,0.7,1.64,157.6
2016-01-01 12:40:00,999.62,1.25,274.44,0.71,96.2,6.69,6.43,0.25,4.01,6.44,1265.93,0.95,2.12,159.8
2016-01-01 12:50:00,999.53,1.32,274.51,0.71,95.7,6.72,6.43,0.29,4.01,6.43,1265.51,0.81,1.48,145.5
2016-01-01 13:00:00,999.41,1.53,274.74,0.91,95.6,6.82,6.52,0.3,4.07,6.53,1264.33,0.8,1.4,152.1
2016-01-01 13:10:00,999.32,1.69,274.91,1.0,95.1,6.9,6.57,0.34,4.1,6.57,1263.43,0.98,1.84,132.2
2016-01-01 13:20:00,999.2,1.59,274.81,0.98,95.7,6.85,6.56,0.29,4.09,6.56,1263.78,1.22,2.14,147.4
2016-01-01 13:30:00,999.05,2.05,275.29,1.5,96.1,7.09,6.81,0.28,4.25,6.82,1261.32,0.79,1.36,186.9
2016-01-01 13:40:00,999.03,2.49,275.73,1.92,96.0,7.31,7.02,0.29,4.38,7.02,1259.21,0.71,1.68,188.7
2016-01-01 13:50:00,998.96,2.72,275.96,2.1,95.7,7.43,7.11,0.32,4.44,7.12,1258.02,0.74,1.46,144.7
2016-01-01 14:00:00,998.96,2.44,275.68,1.87,96.0,7.28,6.99,0.29,4.36,7.0,1259.37,0.88,1.74,161.4
2016-01-01 14:10:00,999.05,1.99,275.23,1.48,96.4,7.05,6.8,0.25,4.24,6.81,1261.61,1.14,2.32,148.0
