round,avg_error,avg_reputation,regime,viral_count,bridge_count,energy_brownouts
0,0.03,0.7621862852926067,Calm,0,0,0
1,0.03,0.773763256320583,Calm,0,0,0
2,0.029999999999999992,0.7847613787971605,Calm,0,0,0
3,0.029999999999999992,0.795209595149909,Calm,0,0,0
4,0.029999999999999992,0.8051354006850201,Calm,0,100,0
5,0.029999999999999992,0.8145649159433758,Calm,0,100,0
6,0.029999999999999992,0.8235229554388138,Calm,0,100,0
7,0.029999999999999992,0.8320330929594797,Calm,0,100,0
8,0.029999999999999992,0.8401177236041123,Calm,0,100,0
9,0.029999999999999992,0.8477981227165133,Calm,0,100,0
10,0.029999999999999992,0.8550945018732942,Calm,0,100,0
11,0.029999999999999992,0.8620260620722364,Calm,0,100,0
12,0.029999999999999992,0.868611044261231,Calm,0,100,0
13,0.029999999999999992,0.8748667773407761,Calm,0,100,0
14,0.029999999999999992,0.880809723766344,Calm,0,100,0
15,0.029999999999999992,0.8864555228706333,Calm,0,100,0
16,0.029999999999999992,0.8918190320197087,Calm,0,100,0
17,0.029999999999999992,0.8969143657113297,Calm,0,100,0
18,0.029999999999999992,0.9017549327183698,Calm,0,100,0
19,0.029999999999999992,0.9063534713750578,Calm,0,100,0
20,0.029999999999999992,0.9107220830989117,Calm,0,100,0
21,0.029999999999999992,0.9148722642365729,Calm,0,100,0
22,0.029999999999999992,0.9188149363173508,Calm,0,100,0
23,0.029999999999999992,0.9225604747940901,Calm,0,100,0
24,0.029999999999999992,0.9261187363469923,Calm,0,100,0
25,0.029999999999999992,0.9294990848222491,Calm,0,100,0
26,0.029999999999999992,0.9327104158737434,Calm,0,100,0
27,0.029999999999999992,0.9357611803726626,Calm,0,100,0
28,0.029999999999999992,0.9386594066466363,Calm,0,100,0
29,0.029999999999999992,0.9414127216069113,Calm,0,100,0
30,0.029999999999999992,0.9440283708191722,Calm,0,100,0
31,0.029999999999999992,0.9465132375708203,Calm,0,100,0
32,0.029999999999999992,0.9488738609848859,Calm,0,100,0
33,0.029999999999999992,0.9511164532282482,Calm,0,100,0
34,0.029999999999999992,0.9532469158594425,Calm,0,100,0
35,0.029999999999999992,0.9552708553590772,Calm,0,100,0
36,0.029999999999999992,0.9571935978837298,Calm,0,100,0
37,0.029999999999999992,0.95902020328215,Calm,0,100,0
38,0.029999999999999992,0.9607554784106493,Calm,0,100,0
39,0.029999999999999992,0.9624039897827232,Calm,0,100,0
40,0.030464368632421017,0.962841273487585,Storm,36,67,0
41,0.030751284201573352,0.9636210178461874,Storm,33,67,0
42,0.03095350167198899,0.9645245558005818,Storm,35,67,0
43,0.03125697790538771,0.9652439497316886,Storm,40,67,0
44,0.031406036045719406,0.96622731864267,Storm,38,67,0
45,0.031586036617908694,0.9671723228865629,Storm,40,67,0
46,0.03181951656018013,0.9679213192694462,Storm,40,67,0
47,0.03231039849485272,0.9680186841411885,Storm,41,67,0
